input,expected
ᨠᩯ᩠ᨦᩌᩰᩡ,ᨠᩯ᩠ᨦ/ᩌᩰᩡ
ᨡᩕᨻ᩠ᩅᨦ,ᨡᩕ/ᨻ᩠ᩅ/ᨦ
ᨡᩰᩬᩡᨡ᩵ᩣ᩠ᨿ,ᨡᩰᩬᩡ/ᨡ᩵ᩣ᩠ᨿ
ᨡᩰ᩠ᨷ,ᨡᩰ᩠ᨷ
ᨡᩱ᩵ᨶᩮᩢᩣ᩶,ᨡᩱ᩵/ᨶᩮᩢᩣ᩶
ᨣᩕᩪ,ᨣᩕᩪ
ᨣᩬ᩶ᨦᩉ᩠ᨶᩯ᩶ᨦ,ᨣᩬ᩶/ᨦ/ᩉ᩠ᨶᩯ᩶/ᨦ
ᨣᩤᩴᨼᩪ᩵ᨣᩮᩢ᩶ᩤ,ᨣᩤᩴ/ᨼᩪ᩵/ᨣᩮᩢ᩶ᩤ
ᨣᩤᩴᩈᨷᩫ᩠ᨳ,ᨣᩤᩴ/ᩈ/ᨷᩫ᩠ᨳ
ᨣ᩠ᩃᩬᨦᨪᩣ᩠ᨿ,ᨣ᩠ᩃᩬ/ᨦ/ᨪᩣ᩠ᨿ
ᨧᩪᩁᨸᩣ᩠ᨠ,ᨧᩪ/ᩁ/ᨸᩣ᩠ᨠ
ᨧᩰᨴ᩠ᨠ᩺ᨠᩢ᩠ᨶ,ᨧᩰ/ᨴ᩠ᨠ᩺/ᨠᩢ᩠ᨶ
ᨩᩨ᩠᩵ᨶᨩᩫ᩠ᨾ,ᨩᩨ᩠᩵ᨶ/ᨩᩫ᩠ᨾ
ᨩᩩᨩᩣᩴ᩶,ᨩᩩ/ᨩᩣᩴ᩶
ᨩ᩠ᨿᨦᨣᩕᩤ᩠ᨶ,ᨩ᩠ᨿ/ᨦ/ᨣᩕᩤ᩠ᨶ
ᨪᩬ᩶ᨾ,ᨪᩬ᩶/ᨾ
ᨪᩦᨺᩰ,ᨪᩦ/ᨺᩰ
ᨪᩩᨾ,ᨪᩩ/ᨾ
ᨲᩬ᩶ᨦᨲᩣ,ᨲᩬ᩶/ᨦ/ᨲᩣ
ᨲᩮ᩠ᨦ,ᨲᩮ᩠ᨦ
ᨳᩬᨦᩉ᩠ᩃ᩠ᩅᨦ,ᨳᩬ/ᨦ/ᩉ᩠ᩃ᩠ᩅ/ᨦ
ᨳ᩠ᩅᩫ᩵,ᨳ᩠ᩅᩫ᩵
ᨳ᩠ᩅ᩠᩶ᨿᨷ᩶ᩤ᩠ᨦ,ᨳ᩠ᩅ᩠᩶ᨿ/ᨷ᩶ᩤ᩠ᨦ
ᨴᩬᨦᩉ᩠ᩃᩮᩬᩥᨦ,ᨴᩬ/ᨦ/ᩉ᩠ᩃᩮᩬᩥ/ᨦ
ᨴᩩᨧᩮᩢ᩶ᩣᩉ᩠ᩅᩫᩅᩢ᩠ᨯ,ᨴᩩ/ᨧᩮᩢ᩶ᩣ/ᩉ᩠ᩅᩫ/ᩅᩢ᩠ᨯ
ᨵᩥᩁᩣ᩠ᨩ,ᨵᩥ/ᩁᩣ᩠ᨩ
ᨶᩅᨠ,ᨶ/ᩅ/ᨠ
ᨶᩫ᩠ᨦ,ᨶᩫ᩠ᨦ
ᨶᩬᩢᨠᨶᩯᩢ᩠ᨠ,ᨶᩬᩢ/ᨠ/ᨶᩯᩢ᩠ᨠ
ᨶᩬ᩠ᨿ,ᨶᩬ᩠ᨿ
ᨶᩣᩃᩦ,ᨶᩣ/ᩃᩦ
ᨶᩣᩴ᩶ᩋᩬ᩠᩶ᨿ,ᨶᩣᩴ᩶/ᩋᩬ᩠᩶ᨿ
ᨶᩣ᩠ᨿᩉ᩠ᨶᩢᨦᩈᩨ,ᨶᩣ᩠ᨿ/ᩉ᩠ᨶᩢ/ᨦ/ᩈᩨ
ᨷ᩠ᩃᩯᨦᨷᩫ᩠᩶ᨦᨡᩫ᩠ᨶ,ᨷ᩠ᩃᩯ/ᨦ/ᨷᩫ᩠᩶ᨦ/ᨡᩫ᩠ᨶ
ᨸᩫ᩠ᨷᨸᩢ᩠ᨷ,ᨸᩫ᩠ᨷ/ᨸᩢ᩠ᨷ
ᨸᩥ᩠᩶ᨦᩉ᩠ᩃᩥ᩶ᨦ,ᨸᩥ᩠᩶ᨦ/ᩉ᩠ᩃᩥ᩶/ᨦ
ᨸᩦ᩠ᨠ,ᨸᩦ᩠ᨠ
ᨸᩩ᩵ᨾᨾᩬᨦᩉ᩠ᩃ᩠ᩅᨦ,ᨸᩩ᩵/ᨾ/ᨾᩬ/ᨦ/ᩉ᩠ᩃ᩠ᩅ/ᨦ
ᨸᩮ᩠ᨶᩉ᩠ᨶᩢᨠᨸᩮ᩠ᨶᩉ᩠ᨶᩣ,ᨸᩮ᩠ᨶ/ᩉ᩠ᨶᩢ/ᨠ/ᨸᩮ᩠ᨶ/ᩉ᩠ᨶᩣ
ᨸᩯ᩠᩶ᨦᩉ᩠ᨦᩯ᩶ᨦ,ᨸᩯ᩠᩶ᨦ/ᩉ᩠ᨦᩯ᩶/ᨦ
ᨸ᩠ᩃᩬᨠᩋᩯ᩠ᩅ,ᨸ᩠ᩃᩬ/ᨠ/ᩋᩯ᩠ᩅ
ᨸ᩠ᩃ᩠ᨿ᩵ᩅ,ᨸ᩠ᩃ᩠ᨿ᩵/ᩅ
ᨹᩢ᩠ᨠᨻᩮᩥ᩠᩶ᨠᩉ᩠ᩅᩫ,ᨹᩢ᩠ᨠ/ᨻᩮᩥ᩠᩶ᨠ/ᩉ᩠ᩅᩫ
ᨹᩢ᩠ᨠᩁᩣ᩠ᨠ,ᨹᩢ᩠ᨠ/ᩁᩣ᩠ᨠ
ᨹᩢ᩠ᨠᩉᩰ᩠ᨾᩉ᩠ᨶᩣ᩠ᨾ,ᨹᩢ᩠ᨠ/ᩉᩰ᩠ᨾ/ᩉ᩠ᨶᩣ᩠ᨾ
ᨹ᩶ᩣᩉ᩠ᨾᩱ,ᨹ᩶ᩣ/ᩉ᩠ᨾᩱ
ᨹᩣ᩠ᨦᨾᩢ᩠ᨶ,ᨹᩣ᩠ᨦ/ᨾᩢ᩠ᨶ
ᨺᩣ᩠ᨿᨤᩬᨠᩉ᩠ᨶᩪ,ᨺᩣ᩠ᨿ/ᨤᩬ/ᨠ/ᩉ᩠ᨶᩪ
ᨻᩕᩢ᩠ᨷ,ᨻᩕᩢ᩠ᨷ
ᨻᩕᩣᩉ᩠ᨾᨱ᩺,ᨻᩕᩣ/ᩉ᩠ᨾ/ᨱ᩺
ᨻᩬᩴᨠᩥ᩠ᨶ,ᨻᩬᩴ/ᨠᩥ᩠ᨶ
ᨻᩬᩴ᩵ᨩᩢ᩠ᨠᨾᩯ᩵ᩈᩨ᩵,ᨻᩬᩴ᩵/ᨩᩢ᩠ᨠ/ᨾᩯ᩵/ᩈᩨ᩵
ᨻᩩᨠᩣᩴ᩵,ᨻᩩ/ᨠᩣᩴ᩵
ᨻᩪ᩶,ᨻᩪ᩶
ᨻᩮᩣᨩᨨᨣᩘᩤ,ᨻᩮᩣ/ᨩ/ᨨ/ᨣᩘᩤ
ᨼᩮᩬᩥ᩵ᨦᩉ᩠ᨾᩬᩴ᩶,ᨼᩮᩬᩥ᩵/ᨦ/ᩉ᩠ᨾᩬᩴ᩶
ᨼᩮᩬᩥᩁ,ᨼᩮᩬᩥ/ᩁ
ᨾᩣᩈᨠ,ᨾᩣ/ᩈ/ᨠ
ᨾᩰ,ᨾᩰ
ᨾᩰ᩵,ᨾᩰ᩵
ᨾᩱ᩶ᨪᩣ᩠ᨦᨷᩬᨾ,ᨾᩱ᩶/ᨪᩣ᩠ᨦ/ᨷᩬ/ᨾ
ᨾ᩠ᩃᩯᨦᨤᩣ,ᨾ᩠ᩃᩯ/ᨦ/ᨤᩣ
ᨾ᩠ᩅ᩠ᨷ,ᨾ᩠ᩅ᩠ᨷ
ᨿᩬ᩠᩵ᨿ᩻ᨿᩯ᩠ᨾ᩻,ᨿᩬ᩠᩵ᨿ᩻/ᨿᩯ᩠ᨾ᩻
ᩃᩉᩩ,ᩃ/ᩉᩩ
ᩃᩫ᩠ᨾᨲᩧ᩠ᨦ,ᩃᩫ᩠ᨾ/ᨲᩧ᩠ᨦ
ᩃᩬ᩵ᨦᩈ᩶ᩣ᩠ᩅ,ᩃᩬ᩵/ᨦ/ᩈ᩶ᩣ᩠ᩅ
ᩃᩢ᩠ᨯᨪᩨ᩵,ᩃᩢ᩠ᨯ/ᨪᩨ᩵
ᩃᩣ᩠ᨠᨡᩮᩢ᩶ᩣᨡᩧ᩠᩶ᨶᩉ᩠ᩃᩬᨦ,ᩃᩣ᩠ᨠ/ᨡᩮᩢ᩶ᩣ/ᨡᩧ᩠᩶ᨶ/ᩉ᩠ᩃᩬ/ᨦ
ᩃᩣ᩠ᨿᨾ᩶ᩣ,ᩃᩣ᩠ᨿ/ᨾ᩶ᩣ
ᩃᩮ᩠᩶ᨾ,ᩃᩮ᩠᩶ᨾ
ᩅᨳᩥᩁ,ᩅ/ᨳᩥ/ᩁ
ᩅᩢ᩠ᨶᨤᩨ᩠ᨶ,ᩅᩢ᩠ᨶ/ᨤᩨ᩠ᨶ
ᩈᨩᩣ,ᩈ/ᨩᩣ
ᩈᨯᩢ᩠ᨷ,ᩈ/ᨯᩢ᩠ᨷ
ᩈᩫ᩠᩵ᨦᨠᩥ᩠᩵ᩅ,ᩈᩫ᩠᩵ᨦ/ᨠᩥ᩠᩵ᩅ
ᩈᩕᩬᨠ,ᩈᩕᩬ/ᨠ
ᩈᩣ᩠ᨾᩃᩬᩴ᩶ᨣᩕᩮᩬᩥ᩵ᨦ,ᩈᩣ᩠ᨾ/ᩃᩬᩴ᩶/ᨣᩕᩮᩬᩥ᩵/ᨦ
ᩈᩣ᩠ᨾ,ᩈᩣ᩠ᨾ
ᩈᩥ᩠ᨶ,ᩈᩥ᩠ᨶ
ᩈᩪᨾᩣ,ᩈᩪ/ᨾᩣ
ᩈᩰᨲᩣᨷᨶ᩠ᨶ,ᩈᩰ/ᨲᩣ/ᨷ/ᨶ᩠ᨶ
ᩈ᩠ᩅ᩵ᩣ᩠ᨿ,ᩈ᩠ᩅ᩵ᩣ᩠ᨿ
ᩉᩕ᩵ᩣ,ᩉᩕ᩵ᩣ
ᩉᩨ᩶,ᩉᩨ᩶
ᩉ᩠ᨾᩣ᩠ᨠᨲᩬᩴ᩶,ᩉ᩠ᨾᩣ᩠ᨠ/ᨲᩬᩴ᩶
ᩉ᩠ᨾᩮᩢᩁ,ᩉ᩠ᨾᩮᩢ/ᩁ
ᩉ᩠ᩃᩢᨦᨤᩣᩁᩮᩬᩥᩁ,ᩉ᩠ᩃᩢ/ᨦ/ᨤᩣ/ᩁᩮᩬᩥ/ᩁ
ᩉ᩠ᩃᩢᨦᨤᩣᩁᩮᩬᩥᩁ,ᩉ᩠ᩃᩢ/ᨦ/ᨤᩣ/ᩁᩮᩬᩥ/ᩁ
ᩉ᩠ᩃᩮᩢᨠᨼᩱᨠᩢ᩠ᨷᨾᩩᨯ,ᩉ᩠ᩃᩮᩢ/ᨠ/ᨼᩱ/ᨠᩢ᩠ᨷ/ᨾᩩ/ᨯ
ᩉ᩠ᩅᩫᩋᩫ᩠ᨦ,ᩉ᩠ᩅᩫ/ᩋᩫ᩠ᨦ
ᩉ᩠ᩅᩣ᩠ᨶ,ᩉ᩠ᩅᩣ᩠ᨶ
ᩋᨣ᩠ᨣᩈᩣᩅᨠ,ᩋ/ᨣ᩠ᨣ/ᩈᩣ/ᩅ/ᨠ
ᩋᩬᨠᨷ᩶ᩤ᩠ᨶ,ᩋᩬ/ᨠ/ᨷ᩶ᩤ᩠ᨶ
ᩋᩬᩴ᩶ᨷᩕ᩠ᨿᩣ,ᩋᩬᩴ᩶/ᨷᩕ᩠ᨿᩣ
ᩋᩬ᩶ᩁᩋᩌᩥ᩻,ᩋᩬ᩶/ᩁ/ᩋ/ᩌᩥ᩻
ᩋᩦ᩵ᨸᩪ᩵,ᩋᩦ᩵/ᨸᩪ᩵
ᩋᩪ᩶ᩃ᩵ᩣ᩠ᨿᩋᩪ᩶ᩃ᩵ᩣ᩠ᩅ,ᩋᩪ᩶/ᩃ᩵ᩣ᩠ᨿ/ᩋᩪ᩶/ᩃ᩵ᩣ᩠ᩅ
ᩋᩰᩬᩡᨿᩰᩬᩡ,ᩋᩰᩬᩡ/ᨿᩰᩬᩡ
ᩌᩯᨠ,ᩌᩯ/ᨠ
